Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2026|AADI|EQUITY|7786891760|9225|127413578|5109623659|11401520|41|1715402583|101301243|6979604|2024003|167775|7074314006|1150700|37238217|42111446|227483904|2355296|333731190|19934568|167300|48405133|712577754
31-JUL-2026|AALI|EQUITY|1924688333|6875|72828116|24250098|6517818|49700|134774035|15774533|137766|4022812|4750027|263104905|273800|13686952|18669214|29773412|1855952|32771144|22751953|190500|7719261|127692188
31-JUL-2026|ABBA|EQUITY|3935892857|30|0|2368198705|0|0|1064987091|0|480|71|0|3433186347|0|1300000|0|41020085|395600|0|1754300|0|0|44469985
31-JUL-2026|ABDA|EQUITY|620806680|3500|0|72248|0|98|466057|0|7575|422334|20|968332|538561304|21730234|0|28005000|900|0|30503300|0|0|618800738
31-JUL-2026|ABMM|EQUITY|2753165000|2510|1453200|1502279033|86000|0|419066500|513900|1444335|0|0|1924842968|0|803695205|4065894|1920332|259100|9162629|3184709|0|6034163|828322032
31-JUL-2026|ACES|EQUITY|17120389700|360|287512300|10948609600|101563300|6200000|2670819291|379615687|41770959|17607514|1092800|14454791451|0|82379122|223258023|191853254|14449200|1464809305|140360054|0|548389291|2665498249
31-JUL-2026|ACRO|EQUITY|3469345537|61|0|159600|0|0|3358937834|0|103|0|0|3359097537|0|0|0|2391900|107750800|0|105300|0|0|110248000
31-JUL-2026|ACST|EQUITY|17675160000|85|0|16221398335|0|0|1429996291|0|1080|0|80|17651395786|0|120|0|8642644|13301435|0|1819995|0|20|23764214
31-JUL-2026|ADCP|EQUITY|22222222200|50|0|452547000|1200000|0|1610442700|0|1558700|1100|147078400|2212827900|0|0|0|4341900|4838400|0|214000|0|0|9394300
31-JUL-2026|ADES|EQUITY|589896800|34000|0|3572400|0|350|41453477|0|371|0|0|45026598|0|538985113|60300|4130264|115300|138300|436400|0|316097|544181774
31-JUL-2026|ADHI|EQUITY|8407608979|159|20461579|332567373|44278904|3000000|2263476901|35502|252199448|6806132|985047|2923810886|0|18849|6188100|19688943|26306146|8747369|5033933|0|9030961|75014301
31-JUL-2026|ADMF|EQUITY|1235803109|8675|5082393|783788|106600|930516154|42191753|7511100|150257|71|0|986342116|0|185700|167674|234228814|5098118|1320900|8359740|0|47|249360993
31-JUL-2026|ADMG|EQUITY|3889179559|222|1030000|1399506693|2290400|0|503981787|83|450027|400|0|1907259390|0|0|0|5627228|2632300|0|4337300|0|1925414575|1938011403
31-JUL-2026|ADMR|EQUITY|40882331500|1515|778396300|35828271891|113603500|0|1546072775|524528539|11352654|27739500|707900|38830673059|12743561|588309998|226568430|707051625|10937200|248833138|16115574|0|241098915|2051658441
