Grup Konglo,Ticker,Kategori,Ditemukan
Agung Sedayu Group,PANI,main,Ya
Agung Sedayu Group,CBDK,main,Ya
Agung Sedayu Group,ERAA,small,Ya
Agung Sedayu Group,ERAL,small,Ya
Agung Sedayu Group,PDPP,sharing,Ya
Agung Sedayu Group,INPC,sharing,Ya
Agung Sedayu Group,JIHD,sharing,Ya
Alfa Corp,AMRT,main,Ya
Alfa Corp,MIDI,main,Ya
Alfa Corp,BLOG,small,Ya
Alfa Corp,BANK,sharing,Ya
Alfa Corp,LAJU,sharing,Ya
Aneka Kimia Raya Group (AKR),AKRA,main,Ya
Artha Graha Group,INPC,small,Ya
Artha Graha Group,JIHD,small,Ya
Artha Graha Group,ECII,small,Ya
Artha Graha Group,TRUS,small,Ya
Astra – Jardine Matheson Corp.,ASII,main,Ya
Astra – Jardine Matheson Corp.,UNTR,main,Ya
Astra – Jardine Matheson Corp.,AALI,main,Ya
Astra – Jardine Matheson Corp.,AUTO,main,Ya
Astra – Jardine Matheson Corp.,ASGR,small,Ya
Astra – Jardine Matheson Corp.,ACST,small,Ya
Astra – Jardine Matheson Corp.,HERO,small,Ya
Astra – Jardine Matheson Corp.,HEAL,sharing,Ya
Astra – Jardine Matheson Corp.,ARKO,sharing,Ya
Bakrie Group,BUMI,main,Ya
Bakrie Group,BRMS,main,Ya
Bakrie Group,VKTR,main,Ya
Bakrie Group,BNBR,main,Ya
Bakrie Group,ENRG,main,Ya
Bakrie Group,DEWA,main,Ya
Bakrie Group,MDIA,small,Ya
Bakrie Group,VIVA,small,Ya
Bakrie Group,UNSP,small,Ya
Bakrie Group,BTEL,small,Ya
Bakrie Group,ELTY,small,Ya
Barito Group (Prajogo Pangestu),BRPT,main,Ya
Barito Group (Prajogo Pangestu),BREN,main,Ya
Barito Group (Prajogo Pangestu),TPIA,main,Ya
Barito Group (Prajogo Pangestu),CUAN,main,Ya
Barito Group (Prajogo Pangestu),PTRO,main,Ya
Barito Group (Prajogo Pangestu),CDIA,main,Ya
Barito Group (Prajogo Pangestu),RATU,sharing,Ya
Barito Group (Prajogo Pangestu),SSIA,sharing,Ya
Bayan Resources Group,BYAN,main,Ya
Bayan Resources Group,TRJA,small,Ya
Bayan Resources Group,MYOH,small,Ya
Bayan Resources Group,VOKS,sharing,Ya
Bayan Resources Group,TOTL,sharing,Ya
Charoen Pokphand Group,CPIN,main,Ya
Charoen Pokphand Group,CPRO,small,Ya
Ciputra Group,CTRA,main,Ya
CT Corp (Chairul Tanjung),MEGA,main,Ya
CT Corp (Chairul Tanjung),BBHI,main,Ya
CT Corp (Chairul Tanjung),GIAA,sharing,Ya
Djarum Group (Hartono Brothers),BBCA,main,Ya
Djarum Group (Hartono Brothers),TOWR,main,Ya
Djarum Group (Hartono Brothers),BELI,main,Ya
Djarum Group (Hartono Brothers),SUPR,main,Ya
Djarum Group (Hartono Brothers),RANC,small,Ya
Djarum Group (Hartono Brothers),IBST,small,Ya
Djarum Group (Hartono Brothers),DATA,sharing,Ya
Djarum Group (Hartono Brothers),SSIA,sharing,Ya
Djarum Group (Hartono Brothers),HEAL,sharing,Ya
Djarum Group (Hartono Brothers),ARKO,sharing,Ya
Emtek Group (Elang Mahkota Teknologi),EMTK,main,Ya
Emtek Group (Elang Mahkota Teknologi),SCMA,main,Ya
Emtek Group (Elang Mahkota Teknologi),BUKA,main,Ya
Emtek Group (Elang Mahkota Teknologi),ANJT,small,Ya
Emtek Group (Elang Mahkota Teknologi),CASS,small,Ya
First Resources,FAPA,main,Ya
First Resources,ANJT,small,Ya
FKS Group,FISH,main,Ya
FKS Group,AISA,small,Ya
Gajah Tunggal – MAP Group,MAPA,main,Ya
Gajah Tunggal – MAP Group,MAPI,main,Ya
Gajah Tunggal – MAP Group,BGTG,small,Ya
Gajah Tunggal – MAP Group,GJTL,small,Ya
Gajah Tunggal – MAP Group,GSMF,small,Ya
Gajah Tunggal – MAP Group,MAPB,small,Ya
Gajah Tunggal – MAP Group,ADMG,small,Ya
Garuda Food,GOOD,main,Ya
Garuda Food,KEJU,small,Ya
Gunung Sewu Group | Sequis,SIPD,small,Ya
Harita Group,NCKL,main,Ya
Harita Group,CITA,main,Ya
Harita Group,TIRT,small,Ya
Harum Energy Group,HRUM,main,Ya
Indika Group,INDY,main,Ya
Japfa Group,JPFA,main,Ya
Karunia Prima Nastari (KPN) – Wilmar Corp.,CMNT,main,Ya
Karunia Prima Nastari (KPN) – Wilmar Corp.,CEKA,small,Ya
Kawan Lama Group,ACES,small,Ya
Lippo Group,MLPT,main,Ya
Lippo Group,MLPL,small,Ya
Lippo Group,LPPF,small,Ya
Lippo Group,MPPA,small,Ya
Lippo Group,KBLV,small,Ya
Lippo Group,LPIN,small,Ya
Lippo Group,LPLI,small,Ya
Lippo Group,LPPS,small,Ya
Lippo Group,LPCK,small,Ya
Lippo Group,LPKR,small,Ya
Lippo Group,GMTD,small,Ya
Lippo Group,LPGI,sharing,Ya
Lippo Group,NOBU,sharing,Ya
Lippo Group,SILO,sharing,Ya
Mandiri Coal Group,MCOL,main,Ya
Mandiri Coal Group,MAHA,small,Ya
Mayapada Group,SRAJ,main,Ya
Mayapada Group,MPRO,main,Ya
Mayapada Group,MAYA,small,Ya
Mayapada Group,SONA,small,Ya
Mayora Group,MYOR,main,Ya
Medco – Amman Mineral,MEDC,main,Ya
Medco – Amman Mineral,AMMN,main,Ya
Meratus Line,KARW,small,Ya
Pakuwon Group,PWON,main,Ya
Pakuwon Group,SAME,sharing,Ya
Raja Garuda Mas | Royal Golden Eagle Group,INRU,small,Ya
Rajawali Corp,ARCI,main,Ya
Rajawali Corp,BWPT,small,Ya
Rajawali Corp,FORU,small,Ya
Rukun Raharja Group (Happy Hapsoro),RAJA,main,Ya
Rukun Raharja Group (Happy Hapsoro),RATU,main,Ya
Rukun Raharja Group (Happy Hapsoro),BUVA,main,Ya
Rukun Raharja Group (Happy Hapsoro),ARCI,small,Ya
Rukun Raharja Group (Happy Hapsoro),PSKT,small,Ya
Rukun Raharja Group (Happy Hapsoro),PADI,small,Ya
Rukun Raharja Group (Happy Hapsoro),MINA,small,Ya
Rukun Raharja Group (Happy Hapsoro),SINI,small,Ya
